<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2024.10.18,4:00:00,2693.13,2706.89,2692.915,2704.745,24629,0,100
2024.10.18,5:00:00,2704.745,2712.075,2704.145,2708.26,23204,0,100
2024.10.18,6:00:00,2708.16,2710.915,2707.14,2710.12,15307,0,100
2024.10.18,7:00:00,2710.125,2711.36,2708.83,2710.295,5870,0,100
2024.10.18,8:00:00,2710.285,2714.12,2710.205,2711.53,15864,0,100
2024.10.18,9:00:00,2711.455,2711.765,2702.77,2707.43,32927,0,100
2024.10.18,10:00:00,2707.515,2709.265,2702.335,2702.345,17649,0,100
2024.10.18,11:00:00,2702.36,2706.365,2701.73,2706.32,13441,0,100
2024.10.18,12:00:00,2706.315,2713.185,2706.235,2711.46,16809,0,100
2024.10.18,13:00:00,2711.47,2713.245,2708.065,2712.555,12807,0,100
2024.10.18,14:00:00,2712.56,2713.22,2708.075,2709.92,15851,0,100
2024.10.18,15:00:00,2709.92,2717.13,2709.275,2709.69,25871,0,100
2024.10.18,16:00:00,2709.695,2715.795,2705.035,2713.735,46354,0,100
2024.10.18,17:00:00,2713.73,2720.235,2712.19,2717.455,34087,0,100
2024.10.18,18:00:00,2717.46,2719.28,2713.73,2714.95,19277,0,100
2024.10.18,19:00:00,2714.935,2719.105,2714.8,2717.715,12137,0,100
2024.10.18,20:00:00,2717.72,2720.11,2713.625,2715.935,14839,0,100
2024.10.18,21:00:00,2715.965,2721.295,2715.575,2720.265,10839,0,100
2024.10.18,22:00:00,2720.265,2720.61,2718.08,2719.79,9437,0,100
2024.10.18,23:00:00,2719.79,2722.615,2719.33,2721.51,3583,0,100
2024.10.21,1:00:00,2723.19,2723.92,2720.43,2723.68,2165,0,100
2024.10.21,2:00:00,2723.685,2725.16,2722.505,2723.505,6190,0,100
2024.10.21,3:00:00,2723.505,2725.87,2721.545,2721.735,11591,0,100
2024.10.21,4:00:00,2721.775,2729.325,2721.125,2726.43,28708,0,100
2024.10.21,5:00:00,2726.425,2731.46,2724.91,2730.76,20851,0,100
2024.10.21,6:00:00,2730.755,2732.86,2729.415,2731.575,12791,0,100
2024.10.21,7:00:00,2731.555,2732.05,2729.725,2730.515,6197,0,100
2024.10.21,8:00:00,2730.52,2730.535,2724.56,2724.96,18752,0,100
2024.10.21,9:00:00,2724.96,2730.645,2723.695,2730.355,23174,0,100
2024.10.21,10:00:00,2730.37,2732.475,2725.46,2730.46,18931,0,100
2024.10.21,11:00:00,2730.445,2733.185,2729.495,2731.46,15871,0,100
2024.10.21,12:00:00,2731.46,2736.945,2730.835,2734.615,18617,0,100
2024.10.21,13:00:00,2734.63,2735.015,2727.83,2733.395,19232,0,100
2024.10.21,14:00:00,2733.395,2738.13,2733.05,2734.495,20658,0,100
2024.10.21,15:00:00,2734.47,2739.86,2732.825,2738.695,30156,0,100
2024.10.21,16:00:00,2738.7,2740.585,2733.765,2739.115,37238,0,100
2024.10.21,17:00:00,2739.205,2739.535,2722.315,2725.315,45440,0,100
2024.10.21,18:00:00,2725.33,2727.235,2716.97,2720.15,28909,0,100
2024.10.21,19:00:00,2720.135,2724.17,2718.175,2723.6,14939,0,100
2024.10.21,20:00:00,2723.6,2725.7,2721.71,2722.965,9664,0,100
2024.10.21,21:00:00,2722.965,2723.25,2715.37,2716.49,9203,0,100
2024.10.21,22:00:00,2716.43,2721.17,2714.265,2720.005,13962,0,100
2024.10.21,23:00:00,2720,2721.11,2718.95,2719.73,2884,0,100
2024.10.22,1:00:00,2719.36,2721.86,2719.16,2720.815,926,0,110
2024.10.22,2:00:00,2720.805,2722.735,2720.535,2721.59,2285,0,100
2024.10.22,3:00:00,2721.59,2725.18,2720.745,2724.725,10885,0,100
2024.10.22,4:00:00,2724.72,2730.35,2724.09,2728.235,20094,0,100
2024.10.22,5:00:00,2728.23,2730.675,2727.835,2728.965,13395,0,100
2024.10.22,6:00:00,2728.96,2733.245,2728.815,2731.105,11808,0,100
2024.10.22,7:00:00,2731.1,2735.955,2731.1,2734.8,9134,0,100
2024.10.22,8:00:00,2734.795,2735.195,2729.09,2730.53,13878,0,100
2024.10.22,9:00:00,2730.535,2737.19,2729.74,2735.17,18269,0,100
2024.10.22,10:00:00,2735.04,2736.315,2732.615,2733.745,14024,0,100
2024.10.22,11:00:00,2733.685,2738.505,2731.615,2734.99,12747,0,100
2024.10.22,12:00:00,2734.985,2736.215,2729.885,2731.61,12765,0,100
2024.10.22,13:00:00,2731.61,2739.435,2730.655,2739.03,16943,0,100
