<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2024.09.19,17:45:00,2583.285,2583.64,2580.21,2581.295,7636,0,100
2024.09.19,18:00:00,2581.305,2584.045,2580.555,2581.8,7133,0,100
2024.09.19,18:15:00,2581.8,2584.8,2581.79,2584.765,4696,0,100
2024.09.19,18:30:00,2584.81,2585.34,2583.23,2584.985,2393,0,100
2024.09.19,18:45:00,2584.995,2589.5,2584.665,2589.16,3927,0,100
2024.09.19,19:00:00,2589.22,2590.355,2588.15,2589.825,3133,0,100
2024.09.19,19:15:00,2589.895,2591.365,2587.88,2589.03,3719,0,100
2024.09.19,19:30:00,2589.035,2592.27,2589.035,2592.065,3277,0,100
2024.09.19,19:45:00,2592.06,2592.615,2591.35,2591.765,2261,0,100
2024.09.19,20:00:00,2591.785,2592.765,2588.91,2588.985,3468,0,100
2024.09.19,20:15:00,2588.99,2590.535,2587.97,2588.985,2884,0,100
2024.09.19,20:30:00,2588.98,2590.565,2588.485,2589.77,1907,0,100
2024.09.19,20:45:00,2589.77,2590.93,2589.695,2590.67,1526,0,100
2024.09.19,21:00:00,2590.68,2590.89,2588.535,2588.605,1847,0,100
2024.09.19,21:15:00,2588.61,2588.785,2586.715,2588.47,2682,0,100
2024.09.19,21:30:00,2588.47,2590.09,2587.935,2589.485,1817,0,100
2024.09.19,21:45:00,2589.485,2589.485,2588.26,2588.345,1860,0,100
2024.09.19,22:00:00,2588.335,2588.835,2587.195,2588.07,1291,0,110
2024.09.19,22:15:00,2588.07,2588.16,2586.45,2587.505,1540,0,100
2024.09.19,22:30:00,2587.325,2587.375,2586.02,2586.655,1155,0,100
2024.09.19,22:45:00,2586.63,2589.02,2586.33,2588.48,1714,0,100
2024.09.19,23:00:00,2588.485,2589.875,2588.485,2588.94,751,0,100
2024.09.19,23:15:00,2588.94,2589.15,2587.05,2587.11,822,0,100
2024.09.19,23:30:00,2587.19,2587.295,2586.43,2587.01,406,0,100
2024.09.19,23:45:00,2586.985,2587.41,2586,2586.81,658,0,100
2024.09.20,1:00:00,2586.525,2586.995,2586.285,2586.735,325,0,210
2024.09.20,1:15:00,2586.735,2587.575,2586.725,2587.49,362,0,100
2024.09.20,1:30:00,2587.495,2587.8,2587.205,2587.425,258,0,150
2024.09.20,1:45:00,2587.44,2587.965,2587.11,2587.855,267,0,100
2024.09.20,2:00:00,2587.83,2587.89,2587.46,2587.58,463,0,100
2024.09.20,2:15:00,2587.59,2587.89,2586.49,2587.145,730,0,140
2024.09.20,2:30:00,2587.16,2587.33,2586.84,2587.185,583,0,160
2024.09.20,2:45:00,2587.16,2587.65,2586.985,2587.305,486,0,100
2024.09.20,3:00:00,2587.29,2587.42,2586.155,2586.835,1131,0,100
2024.09.20,3:15:00,2586.79,2587.565,2586.73,2587.49,1252,0,130
2024.09.20,3:30:00,2587.49,2588.435,2586.81,2588.125,1613,0,100
2024.09.20,3:45:00,2588.125,2588.565,2587.6,2588.135,1543,0,100
2024.09.20,4:00:00,2588.14,2588.925,2587.03,2587.835,3180,0,100
2024.09.20,4:15:00,2587.88,2588.13,2584.45,2585.37,3155,0,100
2024.09.20,4:30:00,2585.37,2588.295,2585.16,2587.965,4583,0,130
2024.09.20,4:45:00,2587.975,2589.55,2587.12,2588.315,3931,0,100
2024.09.20,5:00:00,2588.305,2590,2587.475,2589.66,1986,0,100
2024.09.20,5:15:00,2589.615,2590.035,2588.67,2589.015,1088,0,100
2024.09.20,5:30:00,2589.015,2592.325,2589.005,2591.085,3263,0,100
2024.09.20,5:45:00,2591.075,2592.64,2590.625,2591.655,3597,0,100
2024.09.20,6:00:00,2591.6,2593.7,2591.575,2591.8,4211,0,100
2024.09.20,6:15:00,2591.785,2593.68,2591.64,2592.675,4067,0,100
2024.09.20,6:30:00,2592.675,2593.05,2591.095,2593.045,2420,0,100
2024.09.20,6:45:00,2593.045,2593.045,2591.435,2591.485,2130,0,100
2024.09.20,7:00:00,2591.485,2594.115,2591.385,2592.69,1949,0,100
2024.09.20,7:15:00,2592.645,2593.595,2592.1,2593.505,1009,0,100
2024.09.20,7:30:00,2593.43,2594.185,2592.93,2594.015,1222,0,100
2024.09.20,7:45:00,2594.015,2594.435,2592.785,2593.815,1058,0,120
2024.09.20,8:00:00,2593.865,2593.915,2592.51,2592.705,1087,0,100
2024.09.20,8:15:00,2592.635,2593.465,2592.5,2593.19,1176,0,110
2024.09.20,8:30:00,2593.185,2594.975,2592.74,2594.095,3504,0,100
2024.09.20,8:45:00,2594.09,2595.25,2593.76,2594.585,1864,0,100
2024.09.20,9:00:00,2594.51,2598.08,2594.34,2597.305,3321,0,100
2024.09.20,9:15:00,2597.305,2599.805,2596.51,2599.64,3512,0,100
2024.09.20,9:30:00,2599.64,2600.255,2597.555,2599.88,5158,0,100
2024.09.20,9:45:00,2599.87,2607.085,2599.68,2605.52,8958,0,100
2024.09.20,10:00:00,2605.515,2609.785,2605.05,2608.04,6291,0,100
2024.09.20,10:15:00,2608.055,2609.015,2606.27,2607.035,4971,0,100
2024.09.20,10:30:00,2607.03,2607.855,2605.515,2605.66,3844,0,100
2024.09.20,10:45:00,2605.76,2608.145,2604.835,2607.21,4651,0,100
2024.09.20,11:00:00,2607.2,2607.73,2605.565,2606.495,4068,0,100
2024.09.20,11:15:00,2606.505,2609.435,2605.51,2609.415,4481,0,100
2024.09.20,11:30:00,2609.415,2612.785,2609.345,2612.505,4719,0,100
2024.09.20,11:45:00,2612.505,2612.565,2609.515,2609.84,3456,0,100
2024.09.20,12:00:00,2609.84,2610.605,2608.815,2609.165,2935,0,100
2024.09.20,12:15:00,2609.17,2609.775,2607.025,2607.85,2778,0,100
2024.09.20,12:30:00,2607.85,2608.285,2605.72,2606.035,2759,0,100
2024.09.20,12:45:00,2606.045,2607.015,2602.515,2606.39,4072,0,100
2024.09.20,13:00:00,2606.42,2608.96,2606.305,2608.27,3406,0,100
2024.09.20,13:15:00,2608.27,2608.955,2606.55,2608.355,2813,0,100
2024.09.20,13:30:00,2608.355,2610.735,2608.295,2610.385,3918,0,100
2024.09.20,13:45:00,2610.42,2614.265,2610.395,2613.325,4125,0,100
2024.09.20,14:00:00,2613.315,2615.235,2612.13,2612.145,3735,0,100
2024.09.20,14:15:00,2612.15,2613.22,2611.005,2611.135,3429,0,100
2024.09.20,14:30:00,2611.145,2615.505,2610.36,2614.725,4718,0,100
2024.09.20,14:45:00,2614.73,2615.08,2613.43,2613.795,3794,0,100
2024.09.20,15:00:00,2613.785,2616.55,2613.495,2615.615,5512,0,100
2024.09.20,15:15:00,2615.62,2619.385,2614.775,2617.595,6543,0,100
2024.09.20,15:30:00,2617.585,2618.515,2614.605,2616.86,4912,0,100
2024.09.20,15:45:00,2616.86,2617.925,2615.045,2615.615,5341,0,100
2024.09.20,16:00:00,2615.585,2616.595,2609.415,2609.66,9946,0,100
2024.09.20,16:15:00,2609.47,2614.19,2609.23,2609.435,7810,0,100
2024.09.20,16:30:00,2609.44,2611.715,2604.755,2605.215,12393,0,100
2024.09.20,16:45:00,2605.195,2608.075,2602.65,2606.69,9136,0,100
2024.09.20,17:00:00,2606.685,2611.61,2604.79,2608.11,9613,0,100
2024.09.20,17:15:00,2608.14,2613.61,2607.2,2613.51,9711,0,100
2024.09.20,17:30:00,2613.515,2615.68,2612.03,2614.625,7745,0,100
2024.09.20,17:45:00,2614.625,2617.21,2613.45,2614.09,7933,0,100
2024.09.20,18:00:00,2614.105,2618.6,2613.475,2614,7377,0,100
2024.09.20,18:15:00,2613.985,2615.415,2611.265,2611.96,7965,0,100
2024.09.20,18:30:00,2611.955,2622.875,2611.435,2622.39,9670,0,100
2024.09.20,18:45:00,2622.39,2623.065,2619.81,2622.89,9261,0,100
2024.09.20,19:00:00,2622.895,2624.655,2619.815,2623.77,6058,0,100
2024.09.20,19:15:00,2623.77,2625.215,2622.405,2623.23,5033,0,100
2024.09.20,19:30:00,2623.205,2625.22,2622.705,2624.675,4379,0,100
2024.09.20,19:45:00,2624.65,2625.79,2623.75,2624.96,3798,0,130
2024.09.20,20:00:00,2624.96,2625.45,2620.92,2621.52,4211,0,100
2024.09.20,20:15:00,2621.505,2622.74,2619.79,2620.865,4265,0,100
2024.09.20,20:30:00,2620.86,2621.74,2619.355,2620.2,4084,0,100
2024.09.20,20:45:00,2620.185,2621.29,2619.305,2619.635,2984,0,150
2024.09.20,21:00:00,2619.65,2620.7,2617.9,2620.535,5424,0,100
2024.09.20,21:15:00,2620.54,2621.84,2619.185,2619.67,3811,0,100
2024.09.20,21:30:00,2619.67,2620.58,2618.82,2619.64,2971,0,130
2024.09.20,21:45:00,2619.64,2622.3,2619.175,2621.775,2912,0,100
2024.09.20,22:00:00,2621.79,2623.175,2620.755,2622.395,3252,0,120
2024.09.20,22:15:00,2622.395,2623.325,2621.855,2623.27,3304,0,100
2024.09.20,22:30:00,2623.27,2623.49,2621.62,2622.53,2778,0,100
2024.09.20,22:45:00,2622.525,2622.775,2621.08,2621.13,3190,0,110
2024.09.20,23:00:00,2621.14,2621.79,2620.36,2620.79,1420,0,130
2024.09.20,23:15:00,2620.785,2620.855,2619.46,2620.035,1250,0,100
2024.09.20,23:30:00,2620.035,2621.71,2619.095,2621.27,1076,0,140
2024.09.20,23:45:00,2621.27,2622.555,2621.06,2622.215,979,0,100
2024.09.23,1:00:00,2621.015,2622.115,2620.76,2620.965,620,0,100
2024.09.23,1:15:00,2620.905,2621.605,2619.8,2619.98,1296,0,100
2024.09.23,1:30:00,2619.975,2621.335,2619.905,2620.49,1163,0,120
2024.09.23,1:45:00,2620.49,2621.45,2620.42,2620.485,741,0,100
2024.09.23,2:00:00,2620.525,2621.135,2619.72,2621.07,750,0,100
2024.09.23,2:15:00,2621.07,2621.56,2619.79,2620.18,772,0,120
2024.09.23,2:30:00,2620.19,2620.98,2620.17,2620.96,638,0,100
2024.09.23,2:45:00,2620.96,2621.26,2620.135,2620.245,669,0,170
2024.09.23,3:00:00,2620.245,2620.245,2618.855,2619.205,1362,0,100
2024.09.23,3:15:00,2619.205,2620.335,2619.11,2620.14,950,0,100
2024.09.23,3:30:00,2620.14,2620.465,2618.495,2618.62,731,0,100
2024.09.23,3:45:00,2618.62,2619.31,2618.245,2618.415,725,0,100
2024.09.23,4:00:00,2618.37,2619.625,2616.18,2619.555,4586,0,100
2024.09.23,4:15:00,2619.555,2620.605,2617.265,2618.97,4653,0,100
2024.09.23,4:30:00,2618.955,2621.585,2618.085,2621.15,3679,0,100
2024.09.23,4:45:00,2621.15,2621.395,2620.01,2620.215,3111,0,100
2024.09.23,5:00:00,2620.215,2620.745,2618.84,2620.265,2800,0,100
2024.09.23,5:15:00,2620.295,2620.955,2619.655,2620.83,1574,0,120
2024.09.23,5:30:00,2620.83,2625.94,2620.62,2623.085,4336,0,100
2024.09.23,5:45:00,2623.075,2626.745,2622.395,2625.395,3436,0,100
2024.09.23,6:00:00,2625.4,2628.375,2624.875,2628.055,3354,0,100
2024.09.23,6:15:00,2628.065,2631.03,2627.75,2630.935,3833,0,100
2024.09.23,6:30:00,2630.87,2631.185,2627.97,2628.325,1818,0,100
2024.09.23,6:45:00,2628.325,2629.115,2627.975,2628.53,1467,0,100
2024.09.23,7:00:00,2628.52,2631.145,2628.065,2630.93,1659,0,100
2024.09.23,7:15:00,2630.925,2631.005,2629.14,2629.58,1130,0,100
2024.09.23,7:30:00,2629.58,2630.125,2629.53,2629.59,493,0,100
2024.09.23,7:45:00,2629.59,2630.425,2629.075,2629.525,1234,0,100
2024.09.23,8:00:00,2629.515,2630.405,2626.835,2628.015,1917,0,100
2024.09.23,8:15:00,2628.015,2629.1,2627.775,2628.735,1354,0,100
2024.09.23,8:30:00,2628.745,2630.34,2627.525,2630.34,2818,0,100
2024.09.23,8:45:00,2630.34,2631.455,2628.755,2630.085,3100,0,100
2024.09.23,9:00:00,2630.085,2630.225,2627.81,2629.55,3576,0,100
2024.09.23,9:15:00,2629.55,2629.56,2626.53,2628.525,3353,0,100
2024.09.23,9:30:00,2628.535,2629.255,2625.945,2626.71,2678,0,100
2024.09.23,9:45:00,2626.705,2627.34,2624.55,2624.55,2713,0,100
2024.09.23,10:00:00,2624.55,2625.11,2620.865,2621.475,5465,0,100
2024.09.23,10:15:00,2621.39,2621.39,2617.82,2619.46,7394,0,100
2024.09.23,10:30:00,2619.385,2620.35,2614.725,2616.56,7010,0,100
2024.09.23,10:45:00,2616.56,2616.86,2613.905,2615.26,5778,0,100
2024.09.23,11:00:00,2615.255,2618.975,2614.735,2617.025,5482,0,100
2024.09.23,11:15:00,2617.02,2619.77,2616.09,2616.865,4042,0,100
2024.09.23,11:30:00,2616.865,2618.09,2615.545,2616.415,4445,0,100
2024.09.23,11:45:00,2616.435,2617.51,2615.63,2616.925,2648,0,100
2024.09.23,12:00:00,2616.925,2617.37,2615.465,2616.43,3277,0,100
2024.09.23,12:15:00,2616.43,2619.485,2616.425,2618.78,2829,0,100
2024.09.23,12:30:00,2618.77,2620.425,2617.665,2619.92,2736,0,100
2024.09.23,12:45:00,2619.92,2622.08,2619.505,2621.67,2439,0,100
2024.09.23,13:00:00,2621.64,2623.045,2620.8,2623.04,2376,0,100
2024.09.23,13:15:00,2623.04,2623.655,2621.7,2621.715,2471,0,100
2024.09.23,13:30:00,2621.705,2623.67,2621.245,2622.785,2939,0,100
2024.09.23,13:45:00,2622.79,2623,2621.245,2621.585,3507,0,100
2024.09.23,14:00:00,2621.695,2623.985,2621.595,2622.42,2490,0,100
2024.09.23,14:15:00,2622.415,2624.22,2621.95,2622.965,2895,0,100
2024.09.23,14:30:00,2622.965,2625.81,2622.835,2623.28,3768,0,100
2024.09.23,14:45:00,2623.29,2624.36,2621.035,2624.13,3044,0,100
2024.09.23,15:00:00,2624.13,2625.65,2622.985,2623.385,3875,0,100
2024.09.23,15:15:00,2623.385,2623.685,2620.14,2621.77,5365,0,100
2024.09.23,15:30:00,2621.785,2624.135,2621.615,2624.065,4212,0,100
2024.09.23,15:45:00,2624.06,2628.145,2623.825,2627.105,5189,0,100
2024.09.23,16:00:00,2627.12,2629.47,2625.695,2629.155,5040,0,100
2024.09.23,16:15:00,2629.165,2630.75,2627.46,2629.73,5012,0,100
2024.09.23,16:30:00,2629.73,2631.885,2626.435,2630.45,7802,0,100
2024.09.23,16:45:00,2630.315,2634.37,2626.025,2632.07,10501,0,100
2024.09.23,17:00:00,2632.04,2633.53,2628.135,2631.07,8068,0,100
2024.09.23,17:15:00,2631.07,2634.905,2629.92,2634.62,5990,0,100
2024.09.23,17:30:00,2634.62,2634.885,2629.495,2632.335,7753,0,100
2024.09.23,17:45:00,2632.33,2633.04,2629.82,2630.495,5092,0,100
2024.09.23,18:00:00,2630.5,2630.925,2625.785,2628.405,6002,0,100
2024.09.23,18:15:00,2628.41,2632.095,2628.225,2631.495,6024,0,100
2024.09.23,18:30:00,2631.51,2631.7,2629.34,2629.64,3639,0,100
2024.09.23,18:45:00,2629.655,2631.28,2628.95,2629.34,2946,0,100
2024.09.23,19:00:00,2629.33,2630.93,2628.445,2629.48,3788,0,100
2024.09.23,19:15:00,2629.48,2629.505,2626.68,2628.655,4568,0,100
2024.09.23,19:30:00,2628.655,2628.975,2626.675,2628.31,3246,0,100
